#Coeficients for multipole expansion A_lm
#Calculated using Holo_Multipol
#Using 50 coefficients
#l    m    A_lm
50 4 (-6.38122e-05,3.00189e-05)
50 5 (-0.000179158,0.000228055)
50 6 (-0.000423232,-0.000151243)
50 7 (-5.7849e-05,0.00025043)
50 8 (-0.000130385,-0.000182954)
50 9 (0.000141826,-0.000339379)
50 10 (-0.000166735,-5.34402e-05)
50 11 (4.55128e-05,3.60383e-05)
50 12 (8.1578e-05,3.47029e-05)
50 13 (4.04469e-05,7.20775e-05)
50 14 (-1.88031e-05,1.74125e-06)
50 15 (-2.64878e-05,-3.6062e-05)
50 16 (-0.000113645,-4.46851e-05)
50 17 (7.74296e-05,-5.99977e-05)
50 18 (0.000205472,0.00011374)
50 19 (5.54458e-05,-4.09732e-05)
50 20 (1.48726e-05,1.95522e-05)
50 21 (-4.02718e-05,3.73998e-05)
50 22 (-7.90847e-06,-3.25155e-06)
50 23 (-5.40836e-05,-7.6368e-06)
50 24 (1.87653e-05,-7.78908e-05)
50 25 (1.43779e-07,8.11731e-06)
50 26 (-2.61399e-05,3.21797e-05)
50 27 (-3.66854e-05,-5.67988e-05)
50 28 (-5.49329e-05,1.53817e-05)
50 29 (-2.05391e-05,1.37183e-05)
50 30 (-6.63942e-05,-7.12898e-05)
50 31 (2.16948e-05,-1.61779e-05)
50 32 (-2.4721e-05,-2.55324e-06)
50 33 (5.76705e-05,-4.18304e-05)
50 34 (-2.7019e-05,3.02641e-05)
50 35 (-1.89852e-05,1.61871e-05)
50 36 (3.1402e-05,-3.34165e-05)
50 37 (-1.25588e-05,5.64523e-06)
50 38 (2.30367e-05,-5.65626e-05)
50 39 (0.000118086,3.51636e-05)
50 40 (-0.000117151,7.55398e-05)
50 41 (2.52898e-05,-7.41483e-05)
