#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.386462 1604.28 7857.71
0.410741 1604.28 8103.26
0.417172 1604.28 8348.81
0.382332 1604.28 8594.37
0.417478 1604.28 8839.92
0.437061 1604.28 9085.47
0.396831 1604.28 9331.03
0.406736 1604.28 9576.58
0.431981 1604.28 9822.13
0.395149 1604.28 10067.7
0.40545 1604.28 10313.2
0.426528 1604.28 10558.8
0.411646 1604.28 10804.3
0.43692 1604.28 11049.9
0.450169 1604.28 11295.5
0.449981 1604.28 11541
0.454819 1604.28 11786.6
0.45512 1604.28 12032.1
0.453177 1604.28 12277.7
0.418443 1604.28 12523.2
0.422773 1604.28 12768.8
0.421427 1604.28 13014.3
0.384206 1604.28 13259.9
0.410968 1604.28 13505.4
0.419041 1604.28 13751
0.383944 1604.28 13996.5
0.417823 1604.28 14242.1
0.438633 1604.28 14487.6
0.397471 1604.28 14733.2
0.404413 1604.28 14978.8
0.429762 1604.28 15224.3
0.395406 1604.28 15469.9
0.408338 1604.28 15715.4
0.428444 1604.28 15961
0.416274 1604.28 16206.5
0.441453 1604.28 16452.1
0.453224 1604.28 16697.6
0.453593 1604.28 16943.2
0.452963 1604.28 17188.7
0.452055 1604.28 17434.3
0.449516 1604.28 17679.8
0.412048 1604.28 17925.4
0.419241 1604.28 18170.9
0.418794 1604.28 18416.5
0.382514 1604.28 18662.1
0.411567 1604.28 18907.6
0.421411 1604.28 19153.2
0.385938 1604.28 19398.7
0.41761 1604.28 19644.3
0.439465 1604.28 19889.8
0.397615 1604.28 20135.4
0.402526 1604.28 20380.9
0.128067 1718.87 0
0.145934 1718.87 231.758
0.162153 1718.87 463.516
0.120162 1718.87 695.275
0.153449 1718.87 927.033
0.1584 1718.87 1158.79
0.112826 1718.87 1390.55
0.154572 1718.87 1622.31
0.143668 1718.87 1854.07
0.11423 1718.87 2085.82
0.148532 1718.87 2317.58
0.136796 1718.87 2549.34
0.127672 1718.87 2781.1
0.166593 1718.87 3012.86
0.130717 1718.87 3244.61
0.144555 1718.87 3476.37
0.163757 1718.87 3708.13
0.121428 1718.87 3939.89
0.15179 1718.87 4171.65
0.158072 1718.87 4403.41
0.116967 1718.87 4635.16
0.151291 1718.87 4866.92
0.147865 1718.87 5098.68
0.118889 1718.87 5330.44
0.149112 1718.87 5562.2
0.131187 1718.87 5793.96
0.126616 1718.87 6025.71
0.16399 1718.87 6257.47
0.128723 1718.87 6489.23
0.142282 1718.87 6720.99
0.167521 1718.87 6952.75
0.120349 1718.87 7184.5
0.150421 1718.87 7416.26
0.159267 1718.87 7648.02
0.118299 1718.87 7879.78
0.155006 1718.87 8111.54
0.150035 1718.87 8343.3
0.117954 1718.87 8575.05
0.154406 1718.87 8806.81
0.130392 1718.87 9038.57
0.123315 1718.87 9270.33
0.165431 1718.87 9502.09
0.127259 1718.87 9733.84
0.138067 1718.87 9965.6
0.166195 1718.87 10197.4
0.122914 1718.87 10429.1
0.147452 1718.87 10660.9
0.161576 1718.87 10892.6
0.117924 1718.87 11124.4
0.157631 1718.87 11356.2
0.151635 1718.87 11587.9
0.116692 1718.87 11819.7
0.156451 1718.87 12051.4
0.137263 1718.87 12283.2
0.115866 1718.87 12514.9
0.165249 1718.87 12746.7
